bound,n_syms,n_dfas,time
30,3,1,0.008383989334106445
30,3,2,4.185435056686401
30,3,3,6.7790398597717285
30,3,4,2.00144100189209
30,3,5,2.787199020385742
30,3,6,3.8160200119018555
30,3,7,4.91536808013916
30,3,8,6.4178643226623535
30,3,9,8.479011058807373
30,3,10,12.333791255950928
30,4,1,0.19933700561523438
30,4,2,4.975931167602539
30,4,3,8.20665693283081
30,4,4,2.284630060195923
30,4,5,3.292384147644043
30,4,6,4.5650317668914795
30,4,7,5.929056882858276
30,4,8,7.8561179637908936
30,4,9,10.506695985794067
30,4,10,14.21705412864685
40,2,1,0.0025200843811035156
40,2,2,0.49593329429626465
40,2,3,23.087833166122437
40,2,4,23.74692392349243
40,2,5,5.041597843170166
40,2,6,6.567456960678101
40,2,7,8.185982942581177
40,2,8,10.155493259429932
40,2,9,12.880747079849243
40,2,10,16.95755386352539
40,3,1,0.009659767150878906
40,3,2,6.346366882324219
40,3,3,16.351626873016357
40,3,4,4.271836996078491
40,3,5,5.7777769565582275
40,3,6,7.543159008026123
40,3,7,9.548310041427612
40,3,8,12.573871850967407
40,3,9,15.758596897125244
40,3,10,20.370770931243896
40,4,1,0.2009751796722412
40,4,2,11.60813307762146
40,4,3,18.646130084991455
40,4,4,4.702114105224609
40,4,5,6.524043083190918
40,4,6,8.587281942367554
40,4,7,11.156133890151978
40,4,8,14.415519952774048
40,4,9,18.452460050582886
40,4,10,24.341482877731323
50,2,1,0.0024640560150146484
50,2,2,0.49694108963012695
50,2,3,41.9274001121521
50,2,4,83.43356490135193
50,2,5,9.433390140533447
50,2,6,11.920004844665527
50,2,7,14.757109880447388
50,2,8,18.03347396850586
50,2,9,22.18989324569702
50,2,10,28.099436044692993
50,3,1,0.008347272872924805
50,3,2,8.776597023010254
50,3,3,30.461506843566895
50,3,4,43.023377895355225
50,3,5,10.464009284973145
50,3,6,13.42938494682312
50,3,7,16.891883850097656
50,3,8,20.863491773605347
50,3,9,26.14270782470703
50,3,10,33.032999992370605
50,4,1,0.1998739242553711
50,4,2,20.076000928878784
50,4,3,31.978747844696045
50,4,4,8.558639764785767
50,4,5,11.659589052200317
50,4,6,15.281079053878784
50,4,7,19.342605113983154
50,4,8,24.14037299156189
50,4,9,30.314625024795532
50,4,10,38.68623900413513
60,2,1,0.002591848373413086
60,2,2,0.486494779586792
60,2,3,73.14359712600708
60,2,4,131.52694296836853
60,2,5,15.387168169021606
60,2,6,19.2828688621521
60,2,7,23.63582420349121
60,2,8,28.458451986312866
60,2,9,34.69002389907837
60,2,10,42.785696029663086
60,3,1,0.009037017822265625
60,3,2,11.896015167236328
60,3,3,56.557634115219116
60,3,4,79.5463650226593
60,3,5,16.89977502822876
60,3,6,21.6212317943573
60,3,7,26.546793937683105
60,3,8,32.71834993362427
60,3,9,40.098824977874756
60,3,10,49.06427001953125
60,4,1,0.1974499225616455
60,4,2,32.39133596420288
60,4,3,51.36456918716431
60,4,4,13.630186080932617
60,4,5,18.262566089630127
60,4,6,23.62226414680481
60,4,7,29.668606281280518
60,4,8,36.67994284629822
60,4,9,45.10437798500061
60,4,10,56.39803504943848
70,2,1,0.0022618770599365234
70,2,2,0.48645591735839844
70,2,3,53.68959593772888
70,2,4,89.04623174667358
70,2,5,23.762826919555664
