bound,n_syms,n_dfas,time
90,4,4,0.8816561698913574
90,4,5,0.9649598598480225
90,4,6,1.0713222026824951
90,4,7,1.2168750762939453
90,4,8,1.3520209789276123
90,4,9,1.5383100509643555
90,4,10,1.902940034866333
100,2,1,0.0024499893188476562
100,2,2,1.462576150894165
100,2,3,15.876247882843018
100,2,4,22.996733903884888
100,2,5,0.9216299057006836
100,2,6,0.9277679920196533
100,2,7,0.9796581268310547
100,2,8,1.0280308723449707
100,2,9,1.015721082687378
100,2,10,1.093384027481079
100,3,1,0.04389810562133789
100,3,2,1.4429609775543213
100,3,3,35.033111810684204
100,3,4,42.33149981498718
100,3,5,0.9783542156219482
100,3,6,1.1227240562438965
100,3,7,1.0796289443969727
100,3,8,1.199526309967041
100,3,9,1.3090381622314453
100,3,10,1.35310697555542
100,4,1,1.3693630695343018
100,4,2,11.810061931610107
100,4,3,30.882807970046997
100,4,4,0.9967899322509766
100,4,5,1.0636508464813232
100,4,6,1.1813480854034424
100,4,7,1.2879102230072021
100,4,8,1.4342150688171387
100,4,9,1.6103460788726807
100,4,10,1.7567009925842285
